canonical_item,units_per_week_all,units_per_week_13w,total_qty,raw_item_count,category_guess,perishable_guess
Crunchmaster Multi Seed Crackers,0.0486,0.1538,3.00,1,Uncategorized,Non-perishable
Dawn Powerwash Spray Refill,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Eggland S Best Extra,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Elbows,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Entertainment Collection Crackers Variety,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Fever Tree Ginger Beer,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Fiesta Cheese Finely Shredded,0.0486,0.0000,3.00,1,Dairy,Perishable
Flonase Allergy Relief Fluticasone,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Gatorade Cool Blue Flavor,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Holiday Vanilla Flavored Stars,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Honey Stinger Energy Gel,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Kodiak Protein Packed Honey,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Lacroix Vty,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Little Debbie Christmas Tree,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Mild Cheddar Deli Style,0.0486,0.0000,3.00,1,Dairy,Perishable
Mozzarella String Cheese Sticks,0.0486,0.0000,3.00,1,Dairy,Perishable
Nature Valley Protein Oats,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Navel Orange Each,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Oats Honey Granola,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Safety St Parent Grip,0.0486,0.0000,3.00,1,Uncategorized,Non-perishable
Sargento Balanced Breaks Monterey,0.0486,0.0000,3.00,1,Dairy,Perishable
Seasoned Croutons Baked And,0.0486,0.0769,3.00,1,Uncategorized,Non-perishable
Skinnypop Gluten Free Popcorn,0.0486,0.2308,3.00,1,Pantry,Non-perishable
Small Shells,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Superpretzel Bavarian Soft Pretzel,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Swiffer Sweep Mop Heavy,0.0486,0.0769,3.00,1,Uncategorized,Non-perishable
Torre Oria,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Utz Honey Barbeque Potato,0.0486,0.0000,3.00,1,Snacks,Non-perishable
Utz Ripples Sour Cream,0.0486,0.0000,3.00,1,Snacks,Non-perishable
Whole Brussels Sprouts Bag,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Wonderful Pistachios No Shells,0.0486,0.2308,3.00,1,Uncategorized,Non-perishable
Deer Park Spring Water,0.0486,0.0000,3.00,2,Uncategorized,Non-perishable
Reddi Wip Whipped Topping,0.0486,0.0769,3.00,2,Uncategorized,Non-perishable
Wonder Nation Toddler Cotton,0.0486,0.0000,3.00,2,Uncategorized,Non-perishable
Pillsbury Ready To Bake,0.0486,0.2307,3.00,3,Uncategorized,Non-perishable
All Purpose Enriched Flour,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Barilla Classic Non Gmo,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Bay Leaves,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Belgioioso Mozzarella Log Pre,0.0324,0.1538,2.00,1,Dairy,Perishable
Betty Crocker Snickerdoodle Cookies,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Bfgummybears,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Birds Eye Steamfresh Mixed,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Bluey Toddler Boys Holiday,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Cabot Creamery Colby Jack,0.0324,0.1538,2.00,1,Dairy,Perishable
Cantu Avocado Sulfate Free,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Capri Sun Summer Blast,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Chopped Caesar Salad Kit,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Chuck Roast Choice Angus,0.0324,0.1538,2.00,1,Uncategorized,Perishable
Classico Four Cheese Spaghetti,0.0324,0.0000,2.00,1,Dairy,Perishable
Confectioners Powdered Sugar,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Cool Whip Whipped Topping,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Cranberry Jalapeno Dip Good,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Crest Pro Health Advanced,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Crosswind All Season Uhp,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Dawn Platinum Powerwash Dish,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Dr Teal S Pure,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Dried Philippine Mango,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Extra Virgin Olive Oil,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Ez Foil Disposable Casserole,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Fettuccine,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Fluffernutter Marshmallow Fluff,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Forceum Hena Uhp All,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Frank S Redhot Cayenne,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
French S Non Gmo,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Garlic Bulb Whole Each,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Gatorade Sports Drink Fruit,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Gatorade Thirst Quencher Cool,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Genoa Salami Pepper Jack,0.0324,0.1538,2.00,1,Dairy,Perishable
Goya Artichoke Hearts,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Heavy Whipping Cream Carton,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Hidden Valley Ranch Dipping,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Hillshire Snacking Protein Genoa,0.0324,0.0000,2.00,1,Dairy,Perishable
Honest Kids Super Fruit,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Ivory Bar Soap Scent,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Ken S Steak House,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Kind Gluten Free Peanut,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Little Debbie Chocolate Christmas,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Magic Spoon S Mores,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Mandarin Oranges Bag,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Mccormick Pure Vanilla Extract,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Method All Purpose Cleaner,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Muenster Deli Sliced Cheese,0.0324,0.0769,2.00,1,Dairy,Perishable
Native Facial Moisturizer For,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Native Sensitive Facial Cleanser,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Nature S Bakery Blueberry,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Ophanie Inch Wood Floating,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Ozark Trail Kids Air,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Pillsbury Cinnamon Rolls With,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Pillsbury Creamy Supreme Chocolate,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Pillsbury Grands Cinnamon Rolls,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Pillsbury Premade Pie Crust,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Quaker Quick Minute Grits,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Red Baby Potatoes Bag,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Redi Shade No Tools,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Reduced Calorie Sugar Free,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Ritz Whole Wheat Crackers,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Russell Athletic Boy S,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Sheamoisture Strengthening Scalp Oil,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Simply Potatoes Shredded Hash,0.0324,0.0769,2.00,1,Uncategorized,Non-perishable
Sloppy Joe Sauce,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Smithfield Naturally Hickory Smoked,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Smucker S Natural Strawberry,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Smucker S Seedless Strawberry,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Sprite Lemon Lime Soda,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Stacy S No Artificial,0.0324,0.0769,2.00,1,Snacks,Non-perishable
Stauffer S Animal Crackers,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Sterilite Small Storage Bin,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Strawberries Container,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Sweet Cream Unsalted Butter,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Sweet Loren S Gluten,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Tyson Oven Roasted Diced,0.0324,0.0000,2.00,1,Uncategorized,Perishable
Utz Kettle Classics Salt,0.0324,0.0000,2.00,1,Snacks,Non-perishable
Valvoline Maxlife High Mileage,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Velveeta Pasteurized Recipe Cheese,0.0324,0.1538,2.00,1,Dairy,Perishable
Vita Coco The Coconut,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Waffle Cut French Fried,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Whole Green Broccoli Crowns,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Whole Wheat Penne,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Wholly Guacamole Minis Paste,0.0324,0.1538,2.00,1,Uncategorized,Non-perishable
Yellow Mustard Squeeze Bottle,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Zunmos Drawer Fabric Dresser,0.0324,0.0000,2.00,1,Uncategorized,Non-perishable
Disposable Paper Plates,0.0324,0.0769,2.00,2,Uncategorized,Non-perishable
Finish Jet Dry Rinse,0.0324,0.1538,2.00,2,Uncategorized,Non-perishable
Fram Extra Guard Oil,0.0324,0.0000,2.00,2,Uncategorized,Non-perishable
King Arthur Baking Company,0.0324,0.0769,2.00,2,Uncategorized,Non-perishable
Shredded Iceberg Lettuce Bag,0.0324,0.0000,2.00,2,Uncategorized,Non-perishable
Ace Brand Adjustable Compression,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Airfire H Hepa Air,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Airtechnik Cf Cabin Air,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Allegra Adult Hour Allergy,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Allegra Children S Hour,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Allerease Ultimate Cotton Pillow,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Applegate Natural Prosciutto,0.0162,0.0000,1.00,1,Produce,Perishable
Asp Cough St Adult,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Aspercreme Max Strength Topical,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Aveeno Therapeutic Shave Gel,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Baby Peeled Carrots Bag,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Ball Park White Burger,0.0162,0.0000,1.00,1,Bakery,Non-perishable
Belgioioso Freshly Grated Parmesan,0.0162,0.0000,1.00,1,Dairy,Perishable
Betty Crocker Delights Super,0.0162,0.0769,1.00,1,Uncategorized,Perishable
Betty Crocker Favorites Super,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Blue Bunny Soft Cookies,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Cabot Creamery Lowfat Greek,0.0162,0.0000,1.00,1,Dairy,Perishable
Cantu Care For Kids,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Cantu Sulfate Free Hydrating,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Cantu Weightless Smoothing Shampoo,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Capri Sun Fruit Punch,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
