raw_item,canonical_item,category_guess,perishable_guess,base_unit,pack_count,size_amount,size_unit,total_qty_purchased,normalized_units_total,units_per_week_all_raw,units_per_week_13w_raw,package_volume_hint
"Little Debbie Vanilla Christmas Tree Cakes, 8.52 oz, 5 Count",Little Debbie Vanilla Christmas,Uncategorized,Non-perishable,each,5,8.52,oz,8.00,40.00,0.1296,0.1538,8.52 oz
"OREO Cakesters Soft Snack Cakes, 5 - 2.02 oz Snack Packs",Oreo Cakesters Soft Snack,Uncategorized,Non-perishable,each,1,2.02,oz,8.00,8.00,0.1296,0.0000,2.02 oz
"Progresso Rich and Hearty Chicken and Homestyle Noodles Canned Soup, 19 oz",Progresso Rich And Hearty,Uncategorized,Perishable,each,1,19,oz,8.00,8.00,0.1296,0.3077,19 oz
"Stauffer's Original Animal Snack Crackers, 32 oz Party Size Pillow Bag, Low Fat Snack for Kids & Adults",Stauffer S Animal Snack,Uncategorized,Non-perishable,each,1,32,oz,8.00,8.00,0.1296,0.1538,32 oz
"Great Value Wide Egg Noodles, 16 oz",Wide Egg Noodles,Uncategorized,Non-perishable,each,1,16,oz,8.00,8.00,0.1296,0.1538,16 oz
"All Natural Ground Chicken, 1 lb Tray",All Natural Ground Chicken,Uncategorized,Perishable,each,1,1,lb,7.00,7.00,0.1134,0.2308,1 lb
"Thomas' Cinnamon Raisin Bagels, 6 count, 9g Protein, Kosher Bagels, 20 oz Bag",Bagels,Bakery,Non-perishable,each,6,20,oz,7.00,42.00,0.1134,0.0000,6 count
"Blue Diamond Almonds, Lightly Salted Snack Almonds perfect for lunches and on-the-go, 25 oz.",Blue Diamond Almonds Lightly,Uncategorized,Non-perishable,each,1,25,oz,7.00,7.00,0.1134,0.2308,25 oz
"The Cheesecake Factory At Home Famous ""Brown Bread"" Wheat Dinner Rolls",Bread,Dairy,Perishable,oz,1,,,7.00,7.00,0.1134,0.0000,
"Cholula Kosher Green Pepper Hot Sauce, 5.0 fl oz Bottle",Cholula Green Pepper Hot,Uncategorized,Non-perishable,each,1,5.0,fl oz,7.00,7.00,0.1134,0.1538,5.0 fl oz
"Great Value Concord Grape Jelly, 30 oz",Concord Grape Jelly,Uncategorized,Non-perishable,each,1,30,oz,7.00,7.00,0.1134,0.0000,30 oz
"""JIFFY"" Corn Muffin Mix, 8.5 oz Box",Corn,Bakery,Non-perishable,each,1,8.5,oz,7.00,7.00,0.1134,0.2308,8.5 oz
Crunchmaster Multi-Grain Sea Salt Crackers 4oz,Crunchmaster Multi Grain Sea,Uncategorized,Non-perishable,each,1,4,oz,7.00,7.00,0.1134,0.0000,4oz
"Crunchmaster Original Multi-Seed Crisps Gluten-Free Crackers, 4.5 oz. Foil Bag in Carboard Box",Crunchmaster Multi Seed Crisps,Uncategorized,Non-perishable,each,1,4.5,oz,7.00,7.00,0.1134,0.0000,4.5 oz
"DiGiorno Stuffed Crust Cheese, Veggie, and Meat Supreme Pizza, 26.4 oz (Frozen)",Digiorno Stuffed Crust Cheese,Dairy,Perishable,oz,1,26.4,oz,7.00,7.00,0.1134,0.0000,26.4 oz
"Great Value Frozen Broccoli Florets Steamable Bag, 12 oz",Frozen Broccoli Florets Steamable,Uncategorized,Non-perishable,each,1,12,oz,7.00,7.00,0.1134,0.0000,12 oz
"Great Value Italian Style Finely Shredded Cheese, 16 oz Bag",Italian Style Finely Shredded,Dairy,Perishable,oz,1,16,oz,7.00,7.00,0.1134,0.3077,16 oz
"McCormick 30% Less Sodium Taco Seasoning Mix, 1.0 oz Packet",Mccormick Less Sodium Taco,Uncategorized,Non-perishable,each,1,1.0,oz,7.00,7.00,0.1134,0.0000,1.0 oz
"Great Value Mild Cheddar Finely Shredded Cheese, 8 oz Bag",Mild Cheddar Finely Shredded,Dairy,Perishable,oz,1,8,oz,7.00,7.00,0.1134,0.0000,8 oz
"Scott Paper Towels, Choose-A-Sheet, 6 Double Rolls",Scott Paper Towels Choose,Uncategorized,Non-perishable,each,1,,,7.00,7.00,0.1134,0.3077,
"Heinz Tomato Ketchup, 32 oz Bottle",Tomatoes,Produce,Perishable,each,1,32,oz,7.00,7.00,0.1134,0.1538,32 oz
"Great Value Uncooked Original Breakfast Pork Sausage Patties, 12 oz Package (Refrigerated)",Breakfast Sausage,Meat,Perishable,each,1,12,oz,7.00,7.00,0.1134,0.1538,12 oz
"WHOLLY GUACAMOLE Classic Bowl Family Size, Hass Avocados, No preservatives added, 15 oz Tub",Wholly Guacamole Classic Bowl,Uncategorized,Non-perishable,each,1,15,oz,7.00,7.00,0.1134,0.1538,15 oz
"GoGo squeeZ Applesauce and Fruit Puree, Apple Apple Snack Pouches, 3.2 oz, 20 Pack",Apples,Produce,Perishable,each,20,3.2,oz,6.00,120.00,0.0972,0.0000,3.2 oz
"Great Value Gluten-Free Beef Broth, 32 oz Carton (Shelf-Stable)",Beef Broth Carton,Uncategorized,Perishable,each,1,32,oz,6.00,6.00,0.0972,0.3846,32 oz
"Campbell's Condensed Cream of Mushroom Soup, 10.5 oz Can",Campbell S Condensed Cream,Uncategorized,Non-perishable,each,1,10.5,oz,6.00,6.00,0.0972,0.0000,10.5 oz
"PopCorners No Artificial Colors or Flavors Spicy Queso Popped Corn Chips Bag, 7 oz​",Corn,Pantry,Non-perishable,oz,1,7,oz,6.00,6.00,0.0972,0.2308,7 oz
"Great Value Fiesta Blend Finely Shredded Cheese, 16 oz Bag",Fiesta Blend Finely Shredded,Dairy,Perishable,oz,1,16,oz,6.00,6.00,0.0972,0.0000,16 oz
"Great Value Fully Cooked Turkey Meatballs, 32 oz, Approximately 64 Meatballs (Frozen)",Fully Cooked Turkey Meatballs,Meat,Perishable,each,1,32,oz,6.00,6.00,0.0972,0.0769,32 oz
"Great Value Jasmine Rice, 2 lb",Jasmine Rice,Uncategorized,Non-perishable,each,1,2,lb,6.00,6.00,0.0972,0.0769,2 lb
"PLANTERS Deluxe Honey Roasted Whole Cashews, Sweet and Salty Snacks, Plant Based Protein, 8.25 oz Steel Can",Planters Deluxe Honey Roasted,Uncategorized,Non-perishable,each,1,8.25,oz,6.00,6.00,0.0972,0.4615,8.25 oz
Plum Organics® Teensy® Snacks Mixed Berry Soft Fruit Snacks .35oz Pouch/5-Count Box,Plum Organics Teensy Snacks,Uncategorized,Non-perishable,each,1,35,oz,6.00,6.00,0.0972,0.0000,35oz
"Premium Original Saltine Crackers, Lunch Snacks, 16 oz",Premium Saltine Crackers Lunch,Uncategorized,Non-perishable,each,1,16,oz,6.00,6.00,0.0972,0.1538,16 oz
"Fresh Red Seedless Grapes, Bag (2.25 lbs/Bag Est.)",Red Seedless Grapes Bag,Uncategorized,Non-perishable,each,1,2.25,lbs,6.00,6.00,0.0972,0.1538,2.25 lbs
"Sabra Classic Original Fresh Hummus Dip, Non-GMO, Gluten Free, Vegan Hummus Spread, 10 oz Tub",Sabra Classic Hummus Dip,Uncategorized,Non-perishable,each,1,10,oz,6.00,6.00,0.0972,0.0000,10 oz
"Bagel Bites Three Cheese Mini Pizza Bagel Frozen Snacks, 40 ct Box",Bagels,Dairy,Perishable,each,40,,,5.00,200.00,0.0810,0.1538,40 ct
"Great Value Bowties, 12 oz",Bowties,Uncategorized,Non-perishable,each,1,12,oz,5.00,5.00,0.0810,0.0000,12 oz
"The Cheesecake Factory At Home Famous ""Brown Bread"" Sweet Wheat Sandwich Loaf, 18.7 oz, Kosher Rye Bread, Bag",Bread,Dairy,Perishable,oz,1,18.7,oz,5.00,5.00,0.0810,0.1538,18.7 oz
"Crystal Geyser Alpine Spring Water, 1 Gallon Plastic Jug",Crystal Geyser Alpine Spring,Uncategorized,Non-perishable,fl oz,1,,,5.00,5.00,0.0810,0.1538,1 Gallon
"Heinz HomeStyle Beef Gravy Value Size, 18 oz Jar",Heinz Homestyle Beef Gravy,Uncategorized,Perishable,each,1,18,oz,5.00,5.00,0.0810,0.0000,18 oz
"Honey Nut Cheerios, Heart Healthy Cereal, Affirmations Box, Family Size, 18.8 oz",Honey Nut Cheerios Heart,Uncategorized,Non-perishable,each,1,18.8,oz,5.00,5.00,0.0810,0.0769,18.8 oz
"Great Value Jumbo Shell, 12 oz",Jumbo Shell,Uncategorized,Non-perishable,each,1,12,oz,5.00,5.00,0.0810,0.0000,12 oz
"Kodiak Protein-Packed Power Cakes Buttermilk Pancake and Waffle Mix, 20 oz Box",Kodiak Protein Packed Power,Dairy,Perishable,fl oz,1,20,oz,5.00,5.00,0.0810,0.1538,20 oz
