raw_item,canonical_item,pack_count,base_unit,size_amount,size_unit,normalized_units_total,category_guess,perishable_guess
"PLANTERS Deluxe Honey Roasted Whole Cashews, Sweet and Salty Snacks, Plant Based Protein, 8.25 oz Steel Can",Planters Deluxe Honey Roasted,1,each,8.25,oz,6.00,Uncategorized,Non-perishable
Plum Organics® Teensy® Snacks Mixed Berry Soft Fruit Snacks .35oz Pouch/5-Count Box,Plum Organics Teensy Snacks,1,each,35,oz,6.00,Uncategorized,Non-perishable
"Fresh Small Hass Avocados, 5-6 Count Bag",Avocados,6,each,,,6.00,Uncategorized,Non-perishable
Starbucks Peppermint Hot Cocoa Mix - 6oz/6ct,Starbucks Peppermint Hot Cocoa,6,each,6,oz,6.00,Uncategorized,Non-perishable
Oikos Pro Strawberry Cultured Dairy Drink - 3.1 fl oz/6ct,Yogurt Drinks,6,each,3.1,fl oz,6.00,Dairy,Perishable
"The Cheesecake Factory At Home Famous ""Brown Bread"" Sweet Wheat Sandwich Loaf, 18.7 oz, Kosher Rye Bread, Bag",Bread,1,oz,18.7,oz,5.00,Dairy,Perishable
"Colgate 360 Whole Mouth Clean Adult Manual Toothbrush, Medium, 5 Pack",Toothbrushes,5,each,,,5.00,Uncategorized,Non-perishable
"Kodiak Protein-Packed Power Cakes Buttermilk Pancake and Waffle Mix, 20 oz Box",Kodiak Protein Packed Power,1,fl oz,20,oz,5.00,Dairy,Perishable
"(5 pack) Lunchables Ham and Cheddar Cracker Stackers Value Snack Kit, 1.9 oz Tray, Refrigerated, Pieces",Crackers,5,each,1.9,oz,5.00,Uncategorized,Non-perishable
"Core Power Protein Shake with 26g Protein by fairlife Milk, Chocolate, 14 fl oz",Protein Milk,1,fl oz,14,fl oz,5.00,Dairy,Perishable
"Oikos Pro 23g Protein, Vanilla Yogurt-Cultured Ultra-Filtered Milk Product Tub, 32 oz​",Protein Milk,1,fl oz,32,oz,5.00,Dairy,Perishable
"Siete Mild Taco Seasoning, Mixed Spice, 1.31 oz. Packet",Siete Mild Taco Seasoning,1,each,1.31,oz,5.00,Uncategorized,Non-perishable
So Good So You Energy Passionfruit Organic Probiotic Shot - 1.7 fl oz,So Good So You,1,each,1.7,fl oz,5.00,Uncategorized,Non-perishable
"Swanson White Premium Chunk Chicken Breast with Rib Meat in Water, 12.5 oz. (Pack of 2)",Chicken Breast,1,fl oz,12.5,oz,5.00,Uncategorized,Perishable
"Fresh Cherubs Grape Tomatoes, 10 oz Package",Tomatoes,1,each,10,oz,5.00,Produce,Perishable
"Great Value Diced Tomatoes in Tomato Juice, 14.5 oz Can",Tomatoes,1,each,14.5,oz,5.00,Produce,Perishable
"Great Value Original Diced Tomatoes with Green Chilies, 10 oz",Tomatoes,1,each,10,oz,5.00,Produce,Perishable
Applegate Natural Uncured Genoa Salami - 4oz,Lunch Meat,1,each,4,oz,4.00,Produce,Perishable
"Fresh Cosmic Crisp Apples, 3 lb Bag",Apples,1,each,3,lb,4.00,Produce,Perishable
"GoGo squeeZ Active Energy No Sugar Added Strawberry Guava Fruit Blend Pouches, 3.9 oz (4 Pack)",Applesauce,4,each,3.9,oz,4.00,Uncategorized,Non-perishable
"Colgate Extra Clean Full Head Adult Manual Toothbrush, Soft, 4 Pack",Toothbrushes,4,each,,,4.00,Uncategorized,Non-perishable
"Dial Antibacterial Defense Fresh Lavender Scent Foaming Hand Soap, 7.5 fl oz",Hand Soap,1,each,7.5,fl oz,4.00,Uncategorized,Non-perishable
"EZ Foil Disposable Casserole Pans, 11.75 x 9.25 in., 2 Count",Ez Foil Disposable Casserole,2,each,,,4.00,Uncategorized,Non-perishable
Frozen Sunbutter No Crust Sandwich Strawberry - 4ct - Good & Gather™,Frozen Sunbutter No Crust,4,each,,,4.00,Uncategorized,Non-perishable
Hass Avocados - 4ct - Good & Gather™,Avocados,4,each,,,4.00,Uncategorized,Non-perishable
"Oikos Protein Shake, Shelf Stable, Chocolate, 30g Protein, 12 fl oz, 4 Count​ Bottles",Protein Milk,4,each,12,fl oz,4.00,Uncategorized,Non-perishable
