canonical_item,category_guess,perishable_guess,base_unit,size_unit,first_date,last_date,weeks_observed_all,total_qty_all,total_qty_13w,units_per_week_all,units_per_week_13w,occurrences_all,occurrences_13w,raw_examples
Bananas,Produce,Perishable,each,,2025-01-02,2026-03-02,61.71,347.00,74.00,5.6227,5.6923,64,12,"Fresh Banana, Each | Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack"
Protein Drinks,Dairy,Perishable,each,fl oz,2025-01-25,2026-03-09,61.71,256.00,65.00,4.1481,5.0000,109,29,"Chobani 20G Protein Low-Fat Greek Yogurt Drink Strawberries & Cream 10 fl oz Bottle | Chobani 20G Protein Low-Fat Greek Yogurt Drink Mixed Berry Vanilla 10 fl oz Bottle | Oikos Pro Shots 10g Protein, Mixed Berry Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​ | Oikos Pro Shots 10g Protein, Mango Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​ | Oikos Pro 23g Protein, Peach Cultured Dairy Drink Bottle, 7 fl oz"
Tomatoes,Produce,Perishable,each,oz,2025-01-02,2026-03-09,61.71,131.00,47.00,2.1227,3.6154,94,36,"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz | Fresh Glorys Cherry Tomatoes, 10 oz Package | Fresh Slicing Tomato, Each | Great Value Tomato Sauce, 8 oz Can | Great Value Original Diced Tomatoes with Green Chilies, 10 oz"
Milk,Dairy,Perishable,fl oz,fl oz,2025-01-02,2026-03-09,61.71,133.00,41.00,2.1551,3.1538,115,33,"Oatly Original Oatmilk, Dairy-Free Milk, 64 fl oz Refrigerated Carton | Great Value Whole Vitamin D Milk, Gallon, 128 fl oz | HERSHEY’S a2 Milk® Chocolate 2% Reduced Fat Milk Boxes, 8 oz, 12-Pack | Core Power Protein Shake with 26g Protein by fairlife Milk, Chocolate, 14 fl oz | Oikos Pro 23g Protein, Vanilla Yogurt-Cultured Ultra-Filtered Milk Product Tub, 32 oz​"
Bread,Bakery,Non-perishable,oz,oz,2025-01-12,2026-03-09,61.71,110.00,31.00,1.7824,2.3846,91,26,"Great Value Pre-Sliced Cinnamon Raisin Bread, 16 oz | Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable | Freshness Guaranteed Sliced Sourdough Bread Loaf, 24 oz | The Cheesecake Factory At Home Famous ""Brown Bread"" Wheat Dinner Rolls | Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf"
Sparkling Water,Beverages,Non-perishable,each,fl oz,2025-01-12,2026-03-09,61.71,98.00,28.00,1.5880,2.1538,84,23,"bubly Sparkling Water, The Super Mario Galaxy Movie Cherry, Zero Sugar & Zero Calories ,12 fl oz Cans (8 pack)​ | bubly Sparkling Water, The Super Mario Galaxy Movie Lime, Zero Sugar & Zero Calories, 12 fl oz Cans (8 pack)​ | LaCroix Black Razzberry Sparkling Water 8pk/12 fl oz Cans, 8 Pack (Quantity) | BUBLY 24/12"
Eggs,Uncategorized,Non-perishable,each,oz,2025-01-02,2026-03-09,61.71,64.00,20.00,1.0370,1.5385,56,18,"Great Value Hard Boiled Eggs, 9.31 oz, 6 Count | Great Value Large White Eggs, 18 Count | FARMHOUSE EGGS, Cage Free Large Brown Eggs, 18 Count | Great Value Large White Eggs, 36 Count | Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary)"
Apples,Produce,Perishable,each,lb,2025-01-02,2026-03-09,61.71,43.00,18.00,0.6968,1.3846,43,18,"Fresh Honeycrisp Apples, 3 lb Bag | Fresh Honeycrisp Apples - 3lb Bag - Good & Gather™ | Marketside Envy Apples 3 Lb Bag | Fresh Cosmic Crisp Apples, 3 lb Bag | Fresh Granny Smith Apples, 3 lb Bag"
Hot Dog Buns,Bakery,Non-perishable,each,,2025-03-10,2026-03-09,61.71,38.00,17.00,0.6157,1.3077,26,11,"Pepperidge Farm White Hot Dog Buns, Top Sliced, 8-Pack Bag | Pepperidge Farm Butter Hot Dog Buns, Top Sliced, 8-Pack Bag"
Hot Dogs,Meat,Non-perishable,each,oz,2025-01-18,2026-03-09,61.71,35.00,14.00,0.5671,1.0769,26,9,"Oscar Mayer Turkey Franks Hot Dogs, 16 oz, 10 ct Pack"
